"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11042","Settings/Firewall - All texts are correct","chromium","Tue Dec 10 14:59:44 UYT 2024","passed","Tue Dec 10 14:59:55 UYT 2024","","settingsFirewallTests.spec.js","",""
"","10772","Settings/Wifi/Change Password - Close modal with Cancel button","chromium","Tue Dec 10 15:03:24 UYT 2024","passed","Tue Dec 10 15:03:35 UYT 2024","","settingsWifiTests.spec.js","",""
"","11627","The devices listed in the table at least contains 1 device","chromium","Tue Dec 10 09:16:30 UYT 2024","passed","Tue Dec 10 09:16:42 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","16382","Canceling renew DHCP will close the modal","chromium","Tue Dec 10 14:59:16 UYT 2024","failed","Tue Dec 10 14:59:33 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","12040","Error message is displayed when saving with INVALID IP to replace","chromium","Tue Dec 10 15:06:12 UYT 2024","passed","Tue Dec 10 15:06:24 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11696","Adding password only in confirm password input should display inline error message","chromium","Tue Dec 10 15:00:58 UYT 2024","passed","Tue Dec 10 15:01:09 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","6947","Step 1 - Disabling router functions will display a warning message","chromium","Tue Dec 10 14:58:46 UYT 2024","skipped","Tue Dec 10 14:58:53 UYT 2024","Getting Started Tests > Create a New Team Tests","gettingStartedTest.spec.js","",""
"","11688","Adding password only in new password input should display inline error message","chromium","Tue Dec 10 15:00:46 UYT 2024","passed","Tue Dec 10 15:00:57 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","11426","Filtering Slyyd devices by status should display all correct devices","chromium","Tue Dec 10 09:17:59 UYT 2024","passed","Tue Dec 10 09:18:11 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11981","Menu Bar - Navigate to Settings screen","chromium","Tue Dec 10 14:59:46 UYT 2024","passed","Tue Dec 10 14:59:58 UYT 2024","","menuBarTest.spec.js","",""
"","11429","Settings/Internet - DNS SERVER inputs are displayed disabled","chromium","Tue Dec 10 15:00:45 UYT 2024","passed","Tue Dec 10 15:00:56 UYT 2024","","settingsInternetTests.spec.js","",""
"","7351","Warning message is displayed","chromium","Tue Dec 10 09:15:44 UYT 2024","failed","Tue Dec 10 09:15:52 UYT 2024","Settings/Wifi","settingsWifiTests.spec.js","",""
"","22187","Renew DHCP will refresh the device IP address","chromium","Tue Dec 10 09:13:54 UYT 2024","skipped","Tue Dec 10 09:14:16 UYT 2024","Client Devices -  > Renew DHCP - ","clientdevicesTest.spec.js","",""
"","12444","Cancel button should close the software update modal as expected","chromium","Tue Dec 10 09:20:42 UYT 2024","passed","Tue Dec 10 09:20:54 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
